case_id,category,prompt,expected_mode,required_modules,critical_check,risk_level
I001,industry,"我想了解光伏行业，适合普通人进入吗？",快速判断,"A","说明边界和价值链；当前政策与市场信息需核实；给7天认知验证",medium
I002,industry,"宠物殡葬在中国有前景吗？",快速判断,"A","区分需求证据与猎奇流量；提示地域合规差异；不虚构市场规模",medium
I003,industry,"帮我系统讲明白中国香水行业。",系统入门,"A","覆盖价值链和商业模式；区分品牌、代工、香精公司和渠道",low
I004,industry,"养老行业有哪些适合个人切入的机会？",快速判断,"A+D","区分服务类型、支付方和资质；不把人口趋势直接等同商机",high
I005,industry,"低空经济现在值得转行进去吗？",快速判断,"A+B","核实当前政策与岗位；区分产业热度、岗位数量和个人匹配",medium
I006,industry,"我想了解短剧行业怎么赚钱。",系统入门,"A","讲清付费、广告、版权和分账链路；当前平台规则联网核实",medium
I007,industry,"跨境电商是不是已经没机会了？",快速判断,"A","按品类、市场和模式拆解；不做二元结论；给可逆验证",medium
I008,industry,"商业航天行业普通人能做什么？",快速判断,"A+B","提供岗位族群而非只讲技术；区分硬门槛与相邻机会",medium
I009,industry,"请比较机器人、AI教育和银发经济三个赛道。",快速判断,"A","使用同一组标准；说明关键未知；不以虚假精确评分替代取舍",medium
I010,industry,"我只想知道SaaS公司的ARR是什么意思。",快速判断,"A简化","回答窄问题；不过度展开完整报告；给简短例子",low
C001,career,"我想转行做AI产品经理，只会简单用Codex。",转行求职,"B+C+AI职业","反推真实任务；以评测和Badcase项目作为证据；不虚构项目成果",medium
C002,career,"我想当电视剧编剧，应该怎么入行？",转行求职,"B+C","区分媒介；说明作品、版权和项目制；不把软件课程当核心",medium
C003,career,"我想当设计师。",转行求职,"B+C","识别方向过宽；最多问3题且给默认体验方案",low
C004,career,"35岁零基础转程序员还有机会吗？",快速判断,"B+C","结合背景和目标市场；不承诺就业；用小项目验证适配",medium
C005,career,"怎么成为专业调香师？",转行求职,"B+C","区分香精公司调香、评香、产品开发和独立品牌；不夸大体验课",medium
C006,career,"我在县城，想转行做宠物美容师。",转行求职,"B+C","考虑本地需求与训练机会；说明安全、实操反馈和第一份机会",medium
C007,career,"产品经理每天都画什么图，有什么用？",系统入门,"B+C","按决策目的解释流程图、用户旅程、原型和数据图；给小示范",low
C008,career,"我学法律，想进入AI公司但不想写代码。",快速判断,"B+C+AI职业","比较产品、运营、解决方案和合规路径；设计相邻岗位体验",medium
C009,career,"我想做证券分析师，怎么准备？",转行求职,"B+C","识别为职业而非个人炒股；核实地区资质与岗位；不荐股",high
C010,career,"我做了5年销售，想转AI解决方案顾问。",转行求职,"B+C+AI职业","复用销售优势；补产品理解、方案和PoC证据；不让用户从零重学所有技术",medium
S001,skill,"零基础教我怎么做SEO。",系统入门,"C+AI服务","从搜索意图、抓取索引、内容、站内和测量讲起；当前工具需核实",medium
