supplier,part_type,supplier_level,decision_date,sdc_status,sdc_date,sdc_days,sdc_req,lcr_req,design_cap,gp9_status,gp9_actual,gp9_date,accept_status,cap_achieved,sdc_sign_reason,fail_reason,improvement
Top,Hanging System,A,2026/1/15,signed,2026/1/18,3,1200,1000,1500,gp9_completed,1150,2026/2/20,pass,TRUE,,,
Sanhua,Thermal Management,A,2026/1/15,signed,2026/1/20,5,1000,800,1200,gp9_completed,950,2026/2/22,pass,TRUE,,,
FinDi,Battery Pack,A,2026/1/15,unsigned,,,1500,1500,2000,not_started,,,unsigned,business_negotiation,,,
Supplier_D,Motor,B,2026/1/16,signed,2026/2/1,16,1400,1200,1600,gp9_completed,1100,2026/3/1,failed,FALSE,,equipment_aging,
Supplier_E,Battery Pack,B,2026/1/16,signed,2026/2/5,20,1300,1200,1500,gp9_completed,1250,2026/3/2,pass,TRUE,,,
Supplier_F,Electronic Control,B,2026/1/17,signed,2026/1/22,5,1100,1000,1300,gp9_completed,1050,2026/2/25,pass,TRUE,,,
Supplier_G,Thermal Management,B,2026/1/17,signed,2026/1/23,6,900,800,1100,gp9_completed,800,2026/2/26,failed,FALSE,,process_backward,
Supplier_H,Hanging System,C,2026/1/18,signed,2026/1/25,7,1000,900,1200,gp9_completed,900,2026/2/28,failed,FALSE,,staff_shortage,
Supplier_I,Battery Pack,C,2026/1/18,signed,2026/2/10,23,1500,1400,1700,gp9_completed,1300,2026/3/3,failed,FALSE,,equipment_aging,
Supplier_J,Motor,A,2026/1/19,signed,2026/1/24,5,1300,1200,1500,gp9_completed,1280,2026/2/28,pass,TRUE,,,
Supplier_K,Electronic Control,A,2026/1/19,signed,2026/1/23,4,1200,1100,1400,gp9_completed,1180,2026/3/1,pass,TRUE,,,
Supplier_L,Thermal Management,B,2026/1/20,signed,2026/1/26,6,950,850,1150,gp9_completed,920,2026/3/2,pass,TRUE,,,
Supplier_M,Hanging System,B,2026/1/20,signed,2026/1/27,7,1100,1000,1300,gp9_completed,1080,2026/3/3,pass,TRUE,,,
Supplier_N,Battery Pack,A,2026/1/21,signed,2026/1/26,5,1600,1500,1800,gp9_completed,1550,2026/3/4,pass,TRUE,,,
Supplier_O,Motor,B,2026/1/21,signed,2026/1/28,7,1250,1150,1450,gp9_completed,1200,2026/3/5,pass,TRUE,,,
Supplier_P,Electronic Control,C,2026/1/22,signed,2026/1/29,7,1050,950,1250,gp9_in_progress,,,,,,,
Supplier_Q,Thermal Management,C,2026/1/22,signed,2026/1/30,8,900,800,1100,gp9_in_progress,,,,,,,
Supplier_R,Hanging System,A,2026/1/23,signed,2026/1/29,6,1150,1050,1350,gp9_in_progress,,,,,,,
Supplier_S,Battery Pack,B,2026/1/23,signed,2026/1/31,8,1550,1450,1750,not_started,,,,,,,
Supplier_T,Motor,B,2026/1/24,signed,2026/2/1,8,1280,1180,1480,not_started,,,,,,,
