客户,模板类型,主题行,预计回复率,状态
Ferguson,直接型,"Exclusive Shower Head Pricing for Ferguson",28.5%,已发送
Ferguson,故事型,"How a $50M Distributor Increased Shower Margin by 18%",32.1%,已发送
Grainger,直接型,"Grainger Exclusive: 20% Cost Reduction",25.8%,已发送
Delta Faucet,价值型,"[ROI Calculator] Potential $2.4M Impact for Delta",35.2%,已发送
Delta Faucet,故事型,"Delta's Competitors Are Already Saving $180K/Year",29.7%,待发送
American Standard,直接型,"Premium Shower Products for American Standard",26.3%,已发送
Moen,价值型,"Moen: Custom Pricing Analysis Inside",31.5%,已发送
Kraus,故事型,"From 12% to 22% Margin: Kraus's Next Step",27.8%,待发送
Hansgrohe,直接型,"Hansgrohe US: Exclusive Partnership Offer",24.9%,已发送
High Sierra,价值型,"High Sierra Growth Analysis: 40% Potential Increase",33.4%,待发送
