date,revenue,users,conversion_rate,avg_session,cpu_usage,memory_usage,error_rate
2025-01-01,12500,3400,3.67%,285,42.3,58.1,0.5%
2025-01-02,13200,3520,3.75%,291,45.1,59.3,0.4%
2025-01-03,14100,3680,3.83%,298,39.8,57.8,0.6%
2025-01-04,13800,3610,3.82%,295,41.2,58.5,0.5%
2025-01-05,15200,3890,3.91%,302,48.6,61.2,0.7%
2025-01-06,16800,4150,4.05%,310,52.3,63.4,0.8%
2025-01-07,17500,4280,4.09%,315,49.8,62.1,0.6%
2025-01-08,18200,4410,4.13%,320,51.5,63.8,0.5%
2025-01-09,19500,4650,4.19%,328,55.2,65.1,0.7%
2025-01-10,21200,4920,4.31%,335,58.9,67.3,0.9%
2025-01-11,22800,5180,4.40%,341,54.3,66.2,0.6%
2025-01-12,24100,5380,4.48%,348,57.6,68.1,0.5%
2025-01-13,25500,5610,4.55%,352,60.1,69.5,0.7%
2025-01-14,27200,5890,4.62%,358,56.4,68.8,0.4%
2025-01-15,28900,6120,4.72%,365,59.8,70.2,0.6%
