公司名,城市,州,行业,营收,联系邮箱,BOI评分
Ferguson,Newport,CT,Wholesale Plumbing,$18.5B,sales@ferguson.com,95
Grainger,Morton Grove,IL,Industrial Supply,$14.5B,orders@grainger.com,92
Delta Faucet,Indianapolis,IN,Faucets & Shower,$2.3B,customersupport@deltfaucet.com,91
American Standard,Piscataway,NJ,Bathroom Fixtures,$2.1B,contact@americanstandard.com,90
Moen,Cleveland,OH,Bathroom Fixtures,$1.8B,info@moen.com,89
Kraus,New York,NY,Bathroom Fixtures,$380M,info@kraususa.com,88
Hansgrohe,Ontario,CA,Premium Fixtures,$1.2B,us-info@hansgrohe.com,87
High Sierra,Phoenix,AZ,Shower Heads,$45M,info@highsierra.com,82
Matco-Norca,Brewster,NY,Plumbing & HVAC,$120M,sales@matco-norca.com,85
Waterpik,Vista,CA,Shower Heads,$200M,customerservice@waterpik.com,84
Brass Craft,Novi,MI,Plumbing Hardware,$180M,sales@brasscraft.com,79
Speakman,New Castle,DE,Plumbing Fixtures,$65M,sales@speakmancompany.com,78
Symmons,Braintree,MA,Commercial Plumbing,$55M,info@symmons.com,76
Universal Rundle,Miami,FL,Wholesale Bath,$95M,orders@universalrundle.com,74
Eljer,Dallas,TX,Plumbing Fixtures,$80M,sales@eljer.com,72
Danze,Woodridge,IL,Bathroom Fixtures,$40M,info@danze.com,70
Proflo,Los Angeles,CA,Budget Fixtures,$50M,info@proflo.com,68
MTI,Atlanta,GA,Luxury Baths,$30M,info@mtibaths.com,66
Lxton,San Mateo,CA,Import/Wholesale,$35M,contact@lxton.com,65
Ginger,Tacoma,WA,Decorative Hardware,$25M,sales@gingerco.com,63
