l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,plan_a,plan_b,plan_c,risk
01,Pre-sale product consultation,01.01,Specifications and attributes,01.01.01,"Dimensions, weight and capacity",PROD-SPEC,PROD-COMPARE,NEED-INFO,low
01,Pre-sale product consultation,01.01,Specifications and attributes,01.01.02,Material ingredients and ingredients,PROD-SPEC,PRODUCT-POLICY,NEED-INFO,low
01,Pre-sale product consultation,01.01,Specifications and attributes,01.01.03,Color appearance process,PROD-SPEC,PROD-COMPARE,NEED-INFO,low
01,Pre-sale product consultation,01.01,Specifications and attributes,01.01.04,Origin manufacturer batch,PROD-SPEC,NEED-INFO,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.01,Specifications and attributes,01.01.05,Packing list and accessories,PROD-SPEC,PROD-COMPARE,NEED-INFO,low
01,Pre-sale product consultation,01.02,Adaptation and compatibility,01.02.01,Equipment model compatibility,PROD-FIT,PROD-RECOMMEND,NEED-INFO,low
01,Pre-sale product consultation,01.02,Adaptation and compatibility,01.02.02,Size and body shape adaptation,PROD-FIT,PROD-RECOMMEND,NEED-INFO,low
01,Pre-sale product consultation,01.02,Adaptation and compatibility,01.02.03,Suitable for scene environment,PROD-FIT,PROD-RECOMMEND,PRODUCT-POLICY,low
01,Pre-sale product consultation,01.02,Adaptation and compatibility,01.02.04,Regional voltage plug network,PROD-FIT,PROD-SPEC,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.02,Adaptation and compatibility,01.02.05,Accessories and consumables compatibility,PROD-FIT,PARTS-FLOW,PROD-RECOMMEND,low
01,Pre-sale product consultation,01.03,Function and use,01.03.01,Functional capabilities and limitations,PROD-SPEC,PROD-COMPARE,NEED-INFO,low
01,Pre-sale product consultation,01.03,Function and use,01.03.02,Installation and setting instructions,PROD-SPEC,PROD-FIT,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.03,Function and use,01.03.03,"Cleaning, maintenance and storage",PROD-SPEC,PRODUCT-POLICY,NEED-INFO,low
01,Pre-sale product consultation,01.03,Function and use,01.03.04,Performance life and battery life,PROD-SPEC,PROD-COMPARE,WARRANTY-COVER,low
01,Pre-sale product consultation,01.04,Recommendation and comparison,01.04.01,Recommended according to needs,PROD-RECOMMEND,PROD-COMPARE,NEED-INFO,low
01,Pre-sale product consultation,01.04,Recommendation and comparison,01.04.02,Gift recommendation,PROD-RECOMMEND,PROD-COMPARE,PRODUCT-POLICY,low
01,Pre-sale product consultation,01.04,Recommendation and comparison,01.04.03,Comparison of two or more models,PROD-COMPARE,PROD-RECOMMEND,PROD-SPEC,low
01,Pre-sale product consultation,01.04,Recommendation and comparison,01.04.04,Package combination suggestions,PROD-RECOMMEND,PROD-COMPARE,PRICE-EXPLAIN,low
01,Pre-sale product consultation,01.05,Authenticity and commitment,01.05.01,Authenticity and authorized channels,PROD-SPEC,MARKETPLACE-ROUTE,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.05,Authenticity and commitment,01.05.02,Certification testing and compliance,PROD-SPEC,NEED-INFO,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.05,Authenticity and commitment,01.05.03,"Environmentally friendly, sustainable and ethical sources",PROD-SPEC,NEED-INFO,HUMAN-REVIEW,medium
01,Pre-sale product consultation,01.05,Authenticity and commitment,01.05.04,Efficacy health or safety statement,PROD-SPEC,SAFETY-ESCALATE,HUMAN-REVIEW,manual
01,Pre-sales product consultation,01.06,Pre-sales policy,01.06.01,Shipping scope and timeliness,PRODUCT-POLICY,SHIP-STATUS,NEED-INFO,low
01,Pre-sale product consultation,01.06,Pre-sale policy,01.06.02,Return and refund policy,PRODUCT-POLICY,EXPLAIN-POLICY,HUMAN-REVIEW,medium
01,Pre-sales product consultation,01.06,Pre-sales policy,01.06.03,Warranty maintenance policy,PRODUCT-POLICY,WARRANTY-COVER,HUMAN-REVIEW,medium
01,Pre-sales product consultation,01.06,Pre-sales policy,01.06.04,Customization or final sales restrictions,PRODUCT-POLICY,RETURN-EXCEPTION,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.01,Inventory availability,02.01.01,Current variants in stock,STOCK-AVAILABLE,RESOLVE-NOW,PROD-RECOMMEND,low
02,Inventory pre-sale and price,02.01,Inventory availability,02.01.02,Out of stock and replenishment time,STOCK-RESTOCK,PROD-RECOMMEND,NEED-INFO,low
02,Inventory pre-sale and price,02.01,Inventory availability,02.01.03,Region or channel limited inventory,STOCK-AVAILABLE,PRODUCT-POLICY,MARKETPLACE-ROUTE,low
02,inventory pre-sale and price,02.01,inventory availability,02.01.04,"discontinued, out of print or removed from the shelves",STOCK-RESTOCK,PROD-RECOMMEND,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.02,Pre-sale and waiting list,02.02.01,Pre-sale delivery window,PREORDER-INFO,PRODUCT-POLICY,NEED-INFO,low
02,Inventory pre-sale and price,02.02,Pre-sale and waiting list,02.02.02,Pre-sale extension,PREORDER-INFO,SHIP-DELAY,ORDER-CANCEL,medium
02,Inventory pre-sale and price,02.02,Pre-sale and waiting list,02.02.03,Waiting list arrival notification,STOCK-RESTOCK,RESOLVE-NOW,PROD-RECOMMEND,low
02,Inventory pre-sale and price,02.02,Pre-sale and waiting list,02.02.04,Limited sale and purchase restrictions,PRODUCT-POLICY,STOCK-AVAILABLE,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.03,Price and quotation,02.03.01,Current selling price difference,PRICE-EXPLAIN,PROD-COMPARE,NEED-INFO,low
02,Inventory pre-sale and price,02.03,Price and quotation,02.03.02,Price matching,PRICE-MATCH,EXPLAIN-POLICY,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.03,Price and quotation,02.03.03,Price reduction protection,PRICE-MATCH,REFUND-PARTIAL,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.03,Price and quotation,02.03.04,Initial batch price inquiry,B2B-QUALIFY,B2B-QUOTE,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.04,Purchase restrictions,02.04.01,Minimum and maximum purchase quantity,PRODUCT-POLICY,STOCK-AVAILABLE,HUMAN-REVIEW,medium
02,Inventory pre-sale and price,02.04,Purchase restrictions,02.04.02,Age or identity restrictions,PRODUCT-POLICY,NEED-INFO,HUMAN-REVIEW,manual
02,Inventory pre-sale and price,02.04,Purchase restrictions,02.04.03,Dangerous goods or cross-border restrictions,PRODUCT-POLICY,SHIP-CUSTOMS,HUMAN-REVIEW,manual
