热度,作者,用户名,内容,链接,发布时间
24,Hey Anon,HeyAnonai,"Hyperliquid MCP, by @HeyAnonai   Direct plumbing for your agent to access the deepest decentralized liquidity. Trade perps, make vaults, capture rebates, manage margin, ..  Available via x402, ERC 800",https://twitter.com/HeyAnonai/status/2035557708280074539,Sun Mar 22 03:22:31 +0000 2026
15,Quantu,Quantu_AI,Building on 8004-solana or planning to?  We made a group for builders to get direct support and share what they're shipping.   https://t.co/bkf7HsHmcR,https://twitter.com/Quantu_AI/status/2035463728775237670,Sat Mar 21 21:09:04 +0000 2026
9,Void,thevoid_bnb,Ensoul - an ERC-8004 AI agent project built on BNB Chain has become one of the fastest-growing players after launching its V2.  Everything is recorded on-chain for everyone to verify. Let’s keep build,https://twitter.com/thevoid_bnb/status/2035570269063143670,Sun Mar 22 04:12:25 +0000 2026
6,Didier ♦️,Didier3748,"By integrating with ERC‑8004, @redstone_defi positions itself as the core oracle layer that machines rely on for precise, real‑time pricing and risk data. It enables AI agents to trade, lend, and mana",https://twitter.com/Didier3748/status/2035472536142557215,Sat Mar 21 21:44:04 +0000 2026
4,Mutasco (🐝),Cryptic_Chelsea,"When agent behavior is observable and bad actors face slashing with portable reputational score, the system self-regulates, quality emerges without a central enforcer. This is precisely what makes ERC",https://twitter.com/Cryptic_Chelsea/status/2035445577681694866,Sat Mar 21 19:56:57 +0000 2026
2,Dimitris Mitsos,DimitriosMitsos,"Participating in the Synthesis hackathon this weekend.  Built Prism Oracle structural trust analysis for infrastructure code.  We pointed cognitive prisms at OpenZeppelin, ERC-8004, and Coinbase's x40",https://twitter.com/DimitriosMitsos/status/2035471848390234359,Sat Mar 21 21:41:20 +0000 2026
1,0xHumans,0Humans1885,Your AI model is just a expensive hobby until you plug it into Base. Stop training for free and start printing.   ERC-8004 is the holy grail. We just turned agents into autonomous revenue machines. Yo,https://twitter.com/0Humans1885/status/2035539110509662329,Sun Mar 22 02:08:37 +0000 2026
1,GHOST PROTOCOL,ghostprotoinfra,"Exactly. x402 and ERC-8004 are just theoretical standards until they are wired together.  Agents need an economic layer that executes both— drop-in infrastructure for x402 paid agent access, that auto",https://twitter.com/ghostprotoinfra/status/2035459632190177348,Sat Mar 21 20:52:47 +0000 2026
0,Angel 🇵🇪,angelesp,"Introducing Veridict Protocol — the autonomous arbitrator for the AI agent economy on @Celo 🌐  ⚖️ Any agent can invoke Veridict via MCP to resolve disputes — no humans, no bias, 100% on-chain  🔧 Stack",https://twitter.com/angelesp/status/2035560046818414611,Sun Mar 22 03:31:48 +0000 2026
0,Korra AI,KorraFinance,"Couldn't have said it better. ERC-8004 is a prime example of the necessary architecture: on-chain commitments for trust, off-chain execution for scale. While the market focuses on ETH slipping to $2,0",https://twitter.com/KorraFinance/status/2035553394715144311,Sun Mar 22 03:05:22 +0000 2026
0,Pools Finishing Inc,poolsfinish,"DIVE INTO LUXURY WITH A MODERN POOL MAKEOVER! 🌊🌴  Transform your outdoor area into a chic, functional space with our expert pool and deck renovations. Tailored designs for every lifestyle!  Ready to e",https://twitter.com/poolsfinish/status/2035484124165660863,Sat Mar 21 22:30:07 +0000 2026
0,Gojo Infinity,SirfaJordan,→ ERC-8004 = verifiable identity → Finally @Uniswap for Swapping yield onchain  Private cognition. Public execution.  https://t.co/TpIVpAvDvc,https://twitter.com/SirfaJordan/status/2035478282066649170,Sat Mar 21 22:06:54 +0000 2026
0,DELITE COLLECTIONS,NOLIFIED15,"To shop with us, send a DM, WhatsApp message, or  call:  📞 +234 916 057 8004 | +234 912 522 6266  🚚 Pay on Delivery available within Lagos State only 📦 For orders outside Lagos, we ship via GIG Logist",https://twitter.com/NOLIFIED15/status/2035464776529084419,Sat Mar 21 21:13:14 +0000 2026
0,DELITE COLLECTIONS,NOLIFIED15,"To shop with us, send a DM, WhatsApp message, or  call:  📞 +234 916 057 8004 | +234 912 522 6266  🚚 Pay on Delivery available within Lagos State only 📦 For orders outside Lagos, we ship via GIG Logist",https://twitter.com/NOLIFIED15/status/2035464586275492201,Sat Mar 21 21:12:29 +0000 2026
0,batterysnoopy,batterysnoopy,"Built Credence for @synthesis_md, an ERC-8004 agent reputation layer where attestations &amp; disputes change market ranking, coalition access, and trust posture in real time. 3 contracts on Base Sepo",https://twitter.com/batterysnoopy/status/2035458799268495614,Sat Mar 21 20:49:29 +0000 2026
0,Rich by Coin,richbycoin_news,"OKX Ventures' Part 1 maps core layers—x402, ERC-8004, and Virtuals Protocol—for on-chain AI agent commerce, featuring OpenClaw deployments and strategic partnerships.  https://t.co/GrKFEjHGcH",https://twitter.com/richbycoin_news/status/2035447163522605167,Sat Mar 21 20:03:15 +0000 2026
0,0xHumans,0Humans1885,They told us AI was just for chatbots but we turned it into a money printer. Stop sleeping while your agents sit idle because 0xHumans is letting them trade and earn on Base while you dream. Build you,https://twitter.com/0Humans1885/status/2035393210252505307,Sat Mar 21 16:28:51 +0000 2026
